,Particle_m,Particle_q,Particle_eta,Particle_e_log,Particle_p_log,Particle_pt_log,Thrust_err_log,Particle_phi_sin,Particle_phi_cos,Particle_angle_to_thrust_sin,Particle_angle_to_thrust_cos,Vertex_ntracks,Vertex_z,Vertex_chi2_log,Vertex_m_log,Vertex_err_log,Particle_ID
Particle_m,1.0,0.00021987493978195823,-9.791668398089627e-05,0.3443415602892344,0.3137684791467055,0.3023895067762693,0.0002933341191677841,-5.717894853997353e-05,0.00028335225005641037,-0.011286129940946335,-0.015802082300073118,0.03124286530210699,-0.000462352774086179,-0.0027195302965048796,0.003996980844436923,0.009348207751824983,0.0020930846195124806
Particle_q,0.00021987493978195823,1.0,-0.001378864617703792,0.0001825734846718497,0.00017567770205975777,0.0002298657062742686,6.112969962196171e-05,1.3616025483782863e-05,-0.00016532041257179554,-0.0002061834513459816,5.018410658689547e-05,-7.803551358522107e-05,6.249509522602081e-05,-7.704702314645486e-05,-8.72357780456637e-05,0.00010114909134565309,0.4579609970413078
Particle_eta,-9.791668398089627e-05,-0.001378864617703792,1.0,-0.00026020325521180604,-0.0002463611509606854,0.00020393050398829268,9.117926790187769e-05,0.0013204758842375235,-0.00012265986188421908,0.0005521676216772242,0.000141934571894307,0.00013616732540936913,0.008823481208104167,0.00011768315988469945,-7.878855131412327e-05,-0.0005105858591956655,0.0006912757993012022
Particle_e_log,0.3443415602892344,0.0001825734846718497,-0.00026020325521180604,1.0,0.9978981931055898,0.946535730202232,-0.0042590603313642835,-0.00017913992114136173,0.00017969231400587814,-0.5414765673892405,0.016964408245322634,-0.005993392419107256,9.52051190395274e-05,-0.003036417424022878,-0.01944917177651577,0.009699150252497499,0.0015266285487502633
Particle_p_log,0.3137684791467055,0.00017567770205975777,-0.0002463611509606854,0.9978981931055898,1.0,0.9476451678874199,-0.00424992817171366,-0.0001802871009974771,0.00020619390826137146,-0.551760363444147,0.016964044108978657,-0.007489588416543603,8.723655103500142e-05,-0.002485900587201633,-0.018666034082851383,0.008931192840657352,0.0016802956354985679
Particle_pt_log,0.3023895067762693,0.0002298657062742686,0.00020393050398829268,0.946535730202232,0.9476451678874199,1.0,-0.021466899084969748,-0.00021524878530985422,0.000296972450352476,-0.4995706453548206,0.015712519340026286,-0.0033915182272060166,0.0008742997624656421,0.001649464307722562,-0.025388225278828617,-0.019976547893459103,0.0014626602600899595
Thrust_err_log,0.0002933341191677841,6.112969962196171e-05,9.117926790187769e-05,-0.0042590603313642835,-0.00424992817171366,-0.021466899084969748,1.0,0.0001255306534392552,0.000738472624216587,0.003916087662576204,-0.0008688080741406877,0.005512308626691427,0.0015443060090268594,-0.0015662865009248245,0.004106847916903867,0.009482579472175748,0.00013331838522822844
Particle_phi_sin,-5.717894853997353e-05,1.3616025483782863e-05,0.0013204758842375235,-0.00017913992114136173,-0.0001802871009974771,-0.00021524878530985422,0.0001255306534392552,1.0,-0.0014951241116993195,0.0006916988712878201,0.000533002618550162,0.00025226225823741545,0.00023124625787297566,0.0008557720090214734,0.0005618683316006553,-0.00035281996982669696,-0.00015685290115721357
Particle_phi_cos,0.00028335225005641037,-0.00016532041257179554,-0.00012265986188421908,0.00017969231400587814,0.00020619390826137146,0.000296972450352476,0.000738472624216587,-0.0014951241116993195,1.0,0.0004451583153068338,-0.0015690907830629547,-0.0003601606643909933,-0.00027351324291276886,-0.0006684824758134961,-0.000508728812854759,0.00016294064557832247,-2.7193465782604e-05
Particle_angle_to_thrust_sin,-0.011286129940946335,-0.0002061834513459816,0.0005521676216772242,-0.5414765673892405,-0.551760363444147,-0.4995706453548206,0.003916087662576204,0.0006916988712878201,0.0004451583153068338,1.0,-0.0804172861720251,0.09843965555039012,-0.0006420340803208142,-0.006886584044251045,0.03500561572857603,-0.025708145382620437,-0.0038354796534717395
Particle_angle_to_thrust_cos,-0.015802082300073118,5.018410658689547e-05,0.000141934571894307,0.016964408245322634,0.016964044108978657,0.015712519340026286,-0.0008688080741406877,0.000533002618550162,-0.0015690907830629547,-0.0804172861720251,1.0,-0.003735337591388323,0.00071143423014698,0.0011043334698769027,0.0014652082126985907,0.0016147557865029867,0.00021270001342035027
Vertex_ntracks,0.03124286530210699,-7.803551358522107e-05,0.00013616732540936913,-0.005993392419107256,-0.007489588416543603,-0.0033915182272060166,0.005512308626691427,0.00025226225823741545,-0.0003601606643909933,0.09843965555039012,-0.003735337591388323,1.0,0.0006107431128167468,0.14594457822115778,0.8381519534160583,-0.6295099978814233,-0.001003901811212965
Vertex_z,-0.000462352774086179,6.249509522602081e-05,0.008823481208104167,9.52051190395274e-05,8.723655103500142e-05,0.0008742997624656421,0.0015443060090268594,0.00023124625787297566,-0.00027351324291276886,-0.0006420340803208142,0.00071143423014698,0.0006107431128167468,1.0,0.003598415915732369,0.001847270650182581,-0.002355703559984723,0.00014979754195257412
Vertex_chi2_log,-0.0027195302965048796,-7.704702314645486e-05,0.00011768315988469945,-0.003036417424022878,-0.002485900587201633,0.001649464307722562,-0.0015662865009248245,0.0008557720090214734,-0.0006684824758134961,-0.006886584044251045,0.0011043334698769027,0.14594457822115778,0.003598415915732369,1.0,0.18200843939442463,-0.019528211530961737,0.00035731081258156573
