accuracy,loss,val_accuracy,val_loss
0.7827200293540955,0.5151306986808777,0.837066650390625,0.4080634117126465
0.8412333130836487,0.39755624532699585,0.8615111112594604,0.35269689559936523
0.8596199750900269,0.3565840423107147,0.8668888807296753,0.33699312806129456
0.8718400001525879,0.32717010378837585,0.8835333585739136,0.30032485723495483
0.8782066702842712,0.3139515221118927,0.8668222427368164,0.33366402983665466
0.8809999823570251,0.3039987087249756,0.8861555457115173,0.2941843569278717
0.8877533078193665,0.2878642976284027,0.8969333171844482,0.26971280574798584
0.8912400007247925,0.27942490577697754,0.8922222256660461,0.2720051109790802
0.8948933482170105,0.27044516801834106,0.9005777835845947,0.25448039174079895
0.8959466814994812,0.26631611585617065,0.9046666622161865,0.24764366447925568
0.8996599912643433,0.2569833993911743,0.897599995136261,0.26215335726737976
0.9014599919319153,0.25400063395500183,0.9044666886329651,0.24656644463539124
0.903219997882843,0.24902190268039703,0.9100000262260437,0.23378314077854156
0.9027933478355408,0.24804794788360596,0.8925111293792725,0.27164313197135925
0.9049400091171265,0.24496333301067352,0.9118221998214722,0.2296256124973297
0.9088666439056396,0.23335427045822144,0.9141555428504944,0.22199173271656036
0.9086599946022034,0.2366287261247635,0.9112666845321655,0.2277975082397461
0.9122133255004883,0.22754254937171936,0.9100444316864014,0.23394279181957245
0.9118533134460449,0.22715085744857788,0.9124000072479248,0.23406285047531128
0.9140400290489197,0.22261588275432587,0.9183555841445923,0.2177361100912094
0.9138266444206238,0.22345641255378723,0.9187999963760376,0.21302396059036255
0.9183200001716614,0.21346509456634521,0.9185555577278137,0.2147684395313263
0.9184399843215942,0.2114054262638092,0.921155571937561,0.20732930302619934
0.919593334197998,0.20942029356956482,0.9199110865592957,0.20823608338832855
0.9211533069610596,0.20571649074554443,0.9223999977111816,0.20615535974502563
0.9225199818611145,0.2019450068473816,0.9248666763305664,0.20008517801761627
0.9221199750900269,0.2031969577074051,0.9287111163139343,0.18826575577259064
0.923633337020874,0.19951319694519043,0.921155571937561,0.22774438560009003
0.9257533550262451,0.19426658749580383,0.928600013256073,0.18996965885162354
0.9262866377830505,0.19277361035346985,0.9232000112533569,0.20705287158489227
0.9243133068084717,0.19766315817832947,0.9291333556175232,0.1878960132598877
0.928006649017334,0.18776226043701172,0.9297555685043335,0.18577459454536438
0.9287733435630798,0.18623031675815582,0.921488881111145,0.20277899503707886
0.9287999868392944,0.18686246871948242,0.9283333420753479,0.18771818280220032
0.931273341178894,0.17956840991973877,0.9280444383621216,0.18743552267551422
0.9313333630561829,0.1787082999944687,0.9202888607978821,0.2118048369884491
0.9326466917991638,0.17623737454414368,0.9259555339813232,0.2004621922969818
