accuracy,loss,val_accuracy,val_loss
0.7392133474349976,0.6002984642982483,0.8385111093521118,0.41684582829475403
0.8466600179672241,0.39748328924179077,0.8629555702209473,0.3692423105239868
0.8732466697692871,0.3402310907840729,0.8875555396080017,0.31138619780540466
0.8840733170509338,0.3150087594985962,0.8799777626991272,0.31996220350265503
0.8946066498756409,0.2949478030204773,0.9008222222328186,0.2811143398284912
0.8973866701126099,0.28738969564437866,0.8999555706977844,0.2818664014339447
0.8990066647529602,0.2834772765636444,0.8946889042854309,0.29330649971961975
0.901366651058197,0.27760523557662964,0.9052000045776367,0.2693374454975128
0.9044600129127502,0.27087947726249695,0.9026444554328918,0.27623623609542847
0.9032933115959167,0.2704218327999115,0.9001111388206482,0.28183820843696594
0.9037933349609375,0.27197444438934326,0.8743555545806885,0.33265089988708496
0.9026333093643188,0.27330413460731506,0.9017778038978577,0.2738235592842102
0.9050466418266296,0.2672831118106842,0.9032889008522034,0.27353084087371826
